18,11,2014,21,11,2014,DeepSec, ,Wien,Österreich,https://deepsec.net
20,11,2014,20,11,2014,Denog 6, ,Darmstadt,Deutschland,http://www.denog.de/meetings/denog5/?lang=de
20,11,2014,20,11,2014,IRISSCERT Cyber Crime Conference, ,Dublin, ,https://www.iriss.ie/iriss/irisscon.htm
20,11,2014,23,11,2014,Hobby Elektronik,Messe,Stuttgart,Deutschland,http://www.messe-stuttgart.de/hobby/
25,11,2014,21,12,2014,Esslingen Weihnachtsmarkt, ,Esslingen,Deutschland,http://tourist.esslingen.de/
25,11,2014,22,12,2014,Weihnachtsmarkt LB, ,Ludwigsburg,Deutschland,http://www.ludwigsburg.de/,Lde/start/tourismus/weihnachtsmarkt.html
1,12,2015,6,12,2015,chocolART Schokoladenfestival, ,Tübingen,Deutschland,http://www.chocolart.de/
31,1,2015,1,2,2015,Fosdem,ULB,Brüssel,Belgien,https://fosdem.org
4,2,2015,7,2,2015,Nullcon, ,Goa,Indien,http://nullcon.net/website/
16,3,2015,20,3,2015,Troopers, ,Heidelberg,Deutschland,https://www.troopers.de/
21,3,2015,22,3,2015,Chemnitzer Linuxtage, ,Chemnitz,Deutschland,http://chemnitzer.linux-tage.de/
3,4,2015,6,4,2015,Easterhegg, ,Braunschweig,Deutschland,http://www.easterhegg.eu
9,4,2015,12,4,2015,Markt des guten Geschmacks,Messe,Stuttgart,Deutschland,http://www.messe-stuttgart.de/marktdesgutengeschmacks/
18,4,2015,10,5,2015,Stuttgarter Frühlingsfest,Wasen,Stuttgart,Deutschland,http://www.stuttgarter-fruehlingsfest.de/
21,4,2015,23,4,2015,Open Source Data Center Conference,Hotel MOA,Berlin,Deutschland,http://www.netways.de/osdc/overview/overview/
1,5,2015,3,5,2015,Vintage Computer Festival, , , ,http://www.vcfe.org/D/
16,5,2015,16,5,2015,Open Source System Management Conference, ,Bozen,Italien,http://www.wuerth-phoenix.com/
19,6,2015,21,6,2015,Southside,Take-Off Park,Tuttlingen,Deutschland,http://www.southside.de/
24,6,2015,28,6,2014,Glastonbury, , , ,http://www.glastonburyfestivals.co.uk/
26,6,2015,28,6,2015,HAM RADIO,Messe,Friedrichshafen,Deutschland,http://www.hamradio-friedrichshafen.de/
11,7,2015,11,7,2015,Lichterfest Stuttgart, ,Stuttgart,Deutschland,http://www.lichterfest-stuttgart.de/
24,7,2015,26,7,2015,Das Fest, ,Karlsruhe,Deutschland,http://www.dasfest.net/
30,7,2015,1,8,2015,Wacken, , ,Deutschland,http://www.wacken.com/
11,9,2015,20,9,2015,Heilbronner Weindorf, ,Heilbronn,Deutschland,http://www.weindorf.biz/
13,11,2015,15,11,2015,No-Spy Konferenz,Literaturhaus Stuttgart,Stuttgart,Deutschland,https://no-spy.org/
9,3,2016,11,3,2016,Deutscher Perl-Workshop 2016, ,Nürnberg,Deutschland,http://act.yapc.eu/gpw2016/
